0,75
1,118
2,163
3,210
4,252
5,295
6,340
7,383
8,427
9,473
10,515
11,560
12,605
13,649
14,694
15,738
16,784
17,831
18,874
19,919
20,961
21,1004
22,1049
23,1094
24,1138
25,1183
26,1226
27,1269
28,1316
29,1360
30,1406
31,1449
32,1493
33,1537
34,1583
35,1624
36,1669
37,1711
38,1755
39,1798
40,1842
41,1884
42,1928
43,1971
44,2015
45,2058
46,2101
47,2145
48,2189
49,2231
50,2274
51,2315
52,2358
53,2400
54,2444
55,2485
56,2530
57,2571
58,2616
59,2659
60,2702
61,2745
62,2790
63,2831
64,2875
65,2919
66,2965
