"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",90
1,"Rpeaks[1]",130
1,"Rpeaks[2]",171
1,"Rpeaks[3]",214
1,"Rpeaks[4]",256
1,"Rpeaks[5]",297
1,"Rpeaks[6]",339
1,"Rpeaks[7]",381
1,"Rpeaks[8]",422
1,"Rpeaks[9]",464
1,"Rpeaks[10]",504
1,"Rpeaks[11]",549
1,"Rpeaks[12]",590
1,"Rpeaks[13]",633
1,"Rpeaks[14]",674
1,"Rpeaks[15]",716
1,"Rpeaks[16]",758
1,"Rpeaks[17]",800
1,"Rpeaks[18]",841
1,"Rpeaks[19]",885
1,"Rpeaks[20]",926
1,"Rpeaks[21]",969
1,"Rpeaks[22]",1010
1,"Rpeaks[23]",1053
1,"Rpeaks[24]",1095
1,"Rpeaks[25]",1136
1,"Rpeaks[26]",1178
1,"Rpeaks[27]",1220
1,"Rpeaks[28]",1262
1,"Rpeaks[29]",1303
1,"Rpeaks[30]",1344
1,"Rpeaks[31]",1386
1,"Rpeaks[32]",1426
1,"Rpeaks[33]",1470
1,"Rpeaks[34]",1510
1,"Rpeaks[35]",1552
1,"Rpeaks[36]",1594
1,"Rpeaks[37]",1637
1,"Rpeaks[38]",1677
1,"Rpeaks[39]",1720
1,"Rpeaks[40]",1759
1,"Rpeaks[41]",1802
1,"Rpeaks[42]",1843
1,"Rpeaks[43]",1886
1,"Rpeaks[44]",1928
1,"Rpeaks[45]",1971
1,"Rpeaks[46]",2011
1,"Rpeaks[47]",2052
1,"Rpeaks[48]",2091
1,"Rpeaks[49]",2134
1,"Rpeaks[50]",2175
1,"Rpeaks[51]",2216
1,"Rpeaks[52]",2256
1,"Rpeaks[53]",2298
1,"Rpeaks[54]",2339
1,"Rpeaks[55]",2381
1,"Rpeaks[56]",2421
1,"Rpeaks[57]",2463
1,"Rpeaks[58]",2504
1,"Rpeaks[59]",2546
1,"Rpeaks[60]",2590
1,"Rpeaks[61]",2630
1,"Rpeaks[62]",2669
1,"Rpeaks[63]",2712
1,"Rpeaks[64]",2755
1,"Rpeaks[65]",2796
1,"Rpeaks[66]",2835
1,"Rpeaks[67]",2877
1,"Rpeaks[68]",2919
