"x","y","z","interval_no"
1.831543,-0.05078125,1.7880859,1
1.8505859,-0.016601562,1.7485352,1
1.9121094,0.008300781,1.7236328,1
2.0375977,0.021484375,1.6923828,1
2.065918,0.07080078,1.6254883,1
2.1342773,0.12548828,1.6479492,1
2.1259766,0.11376953,1.6352539,1
2.1674805,0.09277344,1.6396484,1
2.0566406,0.103027344,1.5874023,1
2.0698242,0.12158203,1.6010742,1
2.041504,0.10839844,1.5209961,1
2.0473633,0.06738281,1.5493164,1
2.0463867,-0.0087890625,1.5620117,1
2.057129,-0.06640625,1.5585938,1
2.1069336,-0.10888672,1.53125,1
2.0078125,-0.076660156,1.4873047,1
2.0439453,-0.10839844,1.4941406,1
2.0356445,-0.1538086,1.4672852,1
1.9868164,-0.1640625,1.4228516,1
2.053711,-0.1015625,1.4589844,1
1.9770508,-0.123535156,1.4179688,1
2.034668,-0.08886719,1.4350586,1
1.9423828,-0.087402344,1.4208984,1
1.9545898,-0.08251953,1.4414062,1
2.0136719,-0.083496094,1.440918,1
2.012207,-0.06689453,1.4179688,1
2.0419922,-0.07910156,1.4223633,1
2.0498047,-0.072265625,1.3833008,1
2.0893555,-0.09033203,1.3408203,1
2.059082,-0.104003906,1.3520508,1
2.0566406,-0.10449219,1.359375,1
2.0473633,-0.09667969,1.3178711,1
2.0517578,-0.088378906,1.3291016,1
2.0454102,-0.0703125,1.3125,1
2.0229492,-0.057128906,1.3232422,1
2.0166016,-0.026855469,1.331543,1
1.9956055,0.0146484375,1.3125,1
1.9833984,0.023925781,1.3212891,1
1.9804688,0.038085938,1.3300781,1
1.9716797,0.05126953,1.3295898,1
1.9516602,0.030273438,1.3193359,1
1.934082,0.032226562,1.3261719,1
1.9208984,0.021972656,1.331543,1
1.9047852,0.013183594,1.3652344,1
1.8984375,0.0107421875,1.3994141,1
1.8935547,0.0087890625,1.4414062,1
1.9072266,-0.01171875,1.4873047,1
1.9355469,-0.07324219,1.5087891,1
1.9648438,-0.11328125,1.5141602,1
1.9731445,-0.14794922,1.4794922,1
1.9541016,-0.13964844,1.4506836,1
2.022461,-0.13183594,1.40625,1
2.0830078,-0.09082031,1.3920898,1
2.0927734,-0.0063476562,1.3481445,1
2.1557617,0.08154297,1.3496094,1
2.1826172,0.16601562,1.3618164,1
2.1723633,0.21435547,1.3349609,1
2.1547852,0.24511719,1.3515625,1
2.1245117,0.20263672,1.3432617,1
2.133789,0.13330078,1.3359375,1
2.144043,0.03857422,1.3339844,1
2.140625,-0.033203125,1.3383789,1
2.1811523,-0.14013672,1.3540039,1
2.084961,-0.103027344,1.3447266,1
2.140625,-0.12988281,1.3969727,1
2.1381836,-0.13623047,1.3779297,1
2.1206055,-0.13720703,1.40625,1
2.1010742,-0.12695312,1.4160156,1
2.0795898,-0.16845703,1.484375,1
2.084961,-0.18652344,1.4970703,1
2.1186523,-0.22998047,1.4951172,1
2.1225586,-0.27001953,1.5014648,1
2.1850586,-0.234375,1.4638672,1
2.1699219,-0.19189453,1.425293,1
2.2041016,-0.14257812,1.484375,1
2.2675781,-0.12988281,1.46875,1
2.1704102,-0.043945312,1.4233398,1
2.1464844,-0.0146484375,1.4941406,1
2.1137695,-0.01953125,1.5024414,1
2.0483398,-0.021972656,1.5292969,1
1.9926758,-0.046875,1.546875,1
1.9487305,-0.095703125,1.5478516,1
1.9360352,-0.13232422,1.5766602,1
1.9350586,-0.17578125,1.5722656,1
1.9277344,-0.20996094,1.5888672,1
1.918457,-0.2319336,1.5917969,1
1.8901367,-0.23876953,1.6176758,1
1.8837891,-0.24121094,1.6401367,1
1.8530273,-0.2290039,1.6342773,1
1.8134766,-0.22167969,1.6787109,1
1.7753906,-0.1953125,1.7128906,1
1.7524414,-0.19873047,1.7714844,1
1.7416992,-0.1665039,1.7861328,1
1.7768555,-0.17480469,1.7929688,1
1.784668,-0.18310547,1.8208008,1
1.8129883,-0.2055664,1.8447266,1
1.8476562,-0.22314453,1.8422852,1
1.871582,-0.23486328,1.8364258,1
1.9135742,-0.24951172,1.8183594,1
1.9487305,-0.265625,1.7939453,1
1.9360352,-0.27246094,1.7685547,1
1.9448242,-0.2529297,1.7358398,1
2.003418,-0.23828125,1.7177734,1
2.0073242,-0.24511719,1.6914062,1
2.0112305,-0.27246094,1.6342773,1
2.0424805,-0.27685547,1.6674805,1
2.0488281,-0.2866211,1.6513672,1
2.006836,-0.27978516,1.6123047,1
2.0327148,-0.28759766,1.5869141,1
1.9926758,-0.27294922,1.5424805,1
1.9990234,-0.2553711,1.5405273,1
1.9824219,-0.25097656,1.5112305,1
1.9775391,-0.23730469,1.4863281,1
2.005371,-0.19921875,1.4897461,1
2.0673828,-0.16699219,1.4775391,1
2.0546875,-0.16748047,1.4760742,1
2.0512695,-0.14697266,1.4433594,1
2.0732422,-0.19335938,1.4443359,1
2.0561523,-0.19580078,1.4453125,1
2.0600586,-0.19433594,1.4321289,1
2.0214844,-0.1875,1.4199219,1
2.0273438,-0.19970703,1.4135742,1
2.0288086,-0.1899414,1.4282227,1
2.0083008,-0.18310547,1.4267578,1
