"x","y","z","interval_no"
1.5991211,0.021972656,1.2109375,1
1.5537109,0.03515625,1.222168,1
1.5253906,0.0073242188,1.1801758,1
1.5395508,-0.0234375,1.1660156,1
1.6123047,-0.08105469,1.1679688,1
1.6201172,-0.11425781,1.1269531,1
1.6655273,-0.095214844,1.0883789,1
1.6889648,-0.06201172,1.0693359,1
1.6889648,-0.076171875,1.0673828,1
1.7026367,-0.087890625,1.0351562,1
1.6616211,-0.091796875,1.0214844,1
1.7075195,-0.059570312,1.059082,1
1.7519531,0.008300781,1.1083984,1
1.871582,0.083984375,1.2021484,1
1.9672852,0.15332031,1.2446289,1
2.0332031,0.25585938,1.3212891,1
2.0390625,0.33984375,1.3056641,1
2.1743164,0.38964844,1.2426758,1
2.3613281,0.41992188,1.1308594,1
2.5029297,0.39892578,1.0107422,1
2.5493164,0.25878906,0.9375,1
2.6728516,0.107421875,0.93310547,1
2.8916016,-0.068359375,0.9682617,1
3.0961914,-0.1772461,1.1455078,1
3.144043,-0.25,1.2915039,1
3.0200195,-0.30566406,1.3378906,1
2.7607422,-0.390625,1.2675781,1
2.520996,-0.4321289,1.2026367,1
2.4604492,-0.30078125,1.3383789,1
2.4848633,-0.063964844,1.5087891,1
2.413086,0.14941406,1.625,1
2.3051758,0.06982422,1.7055664,1
2.2045898,0.017578125,1.8671875,1
1.9628906,-0.03466797,1.8510742,1
1.7626953,-0.22558594,1.9243164,1
1.7050781,-0.36914062,1.9306641,1
1.6210938,-0.4267578,1.909668,1
1.6328125,-0.36132812,1.9375,1
1.7529297,-0.23095703,1.9042969,1
1.8515625,-0.1328125,1.8364258,1
2.03125,-0.076171875,1.8037109,1
2.3164062,0.011230469,1.7558594,1
2.65625,0.13427734,1.7583008,1
2.7539062,0.22314453,1.7631836,1
2.581543,0.1586914,1.7128906,1
2.241211,0.08984375,1.7119141,1
2.0039062,-0.03515625,1.6625977,1
1.878418,-0.13330078,1.6630859,1
1.9555664,-0.18408203,1.6518555,1
1.828125,-0.20458984,1.5620117,1
1.8666992,-0.19677734,1.5400391,1
1.8979492,-0.2758789,1.5366211,1
1.8686523,-0.2368164,1.5048828,1
1.7426758,-0.1821289,1.4487305,1
1.703125,-0.06640625,1.4448242,1
1.7021484,-0.011230469,1.4272461,1
1.5698242,-0.027832031,1.3706055,1
1.590332,-0.0546875,1.4389648,1
1.6621094,-0.036621094,1.3935547,1
1.6459961,-0.03466797,1.3764648,1
1.6699219,-0.064453125,1.3671875,1
1.512207,-0.0703125,1.3676758,1
1.487793,-0.068847656,1.3115234,1
1.4907227,-0.022460938,1.2749023,1
1.5195312,0.033203125,1.2299805,1
1.5356445,0.099121094,1.2226562,1
1.5878906,0.15136719,1.1889648,1
1.637207,0.1821289,1.1342773,1
1.734375,0.1928711,1.078125,1
1.8164062,0.17871094,1.0722656,1
1.8481445,0.12207031,1.0449219,1
1.8178711,0.053222656,1.0454102,1
1.8388672,-0.0078125,1.0942383,1
1.8486328,-0.04638672,1.1650391,1
1.8666992,-0.095214844,1.2045898,1
1.8261719,-0.16992188,1.1914062,1
1.8398438,-0.26367188,1.1445312,1
1.8881836,-0.30810547,1.140625,1
2.0424805,-0.2685547,1.1020508,1
2.2910156,-0.13574219,0.984375,1
2.5302734,-0.025878906,0.86865234,1
2.6694336,0.033203125,0.74902344,1
2.8183594,0.030761719,0.7949219,1
2.915039,-0.014160156,0.79541016,1
2.8588867,-0.025390625,0.89941406,1
2.8251953,0.05126953,1.3686523,1
2.7612305,0.2006836,1.8955078,1
2.519043,0.34716797,1.6586914,1
2.4135742,0.4169922,1.4956055,1
2.430664,0.3359375,1.5083008,1
2.3935547,0.16894531,1.4804688,1
2.4311523,-0.026367188,1.4448242,1
2.4638672,-0.06347656,1.4589844,1
2.3110352,-0.2368164,1.5942383,1
2.2124023,-0.3413086,1.8735352,1
2.0551758,-0.28466797,2.0776367,1
2.0214844,-0.13671875,2.1191406,1
2.1210938,0.13427734,2.024414,1
2.1699219,0.22705078,1.953125,1
2.2705078,0.1928711,1.9555664,1
2.192871,0.1743164,1.9272461,1
1.9086914,0.17138672,1.8642578,1
1.8920898,0.095214844,1.8466797,1
2.0615234,-0.0048828125,1.7822266,1
2.190918,-0.08984375,1.769043,1
2.1967773,-0.123046875,1.7250977,1
2.0766602,-0.099609375,1.7021484,1
2.027832,0.015136719,1.6850586,1
1.8930664,0.15966797,1.6181641,1
1.9018555,0.17285156,1.6064453,1
1.9072266,0.17041016,1.5610352,1
1.9199219,0.15478516,1.5673828,1
2.0205078,0.1875,1.5302734,1
1.8510742,0.13623047,1.4765625,1
1.765625,0.017089844,1.425293,1
1.8178711,-0.01171875,1.4145508,1
1.7758789,0.013671875,1.3955078,1
1.8168945,-0.057617188,1.3261719,1
1.8237305,-0.08984375,1.3349609,1
1.6782227,-0.013671875,1.2973633,1
1.6879883,0.03173828,1.3125,1
1.6074219,0.022460938,1.3383789,1
1.590332,0.044921875,1.3266602,1
1.6376953,0.041015625,1.2915039,1
1.6054688,0.017578125,1.2709961,1
1.6118164,0.044921875,1.2412109,1
1.6083984,0.0087890625,1.2607422,1
1.5952148,-0.026367188,1.2304688,1
1.6201172,-0.08203125,1.1782227,1
1.6464844,-0.099609375,1.1533203,1
1.5942383,-0.119140625,1.1254883,1
1.6303711,-0.07910156,1.0864258,1
1.5561523,-0.049804688,1.0566406,1
1.6083984,-0.037109375,1.0488281,1
1.6347656,0.01953125,1.0546875,1
1.7636719,0.08691406,1.1196289,1
1.8564453,0.14892578,1.1352539,1
1.9121094,0.19970703,1.1831055,1
1.9233398,0.21484375,1.2158203,1
2.0126953,0.27490234,1.1870117,1
2.1816406,0.3408203,1.1386719,1
2.4238281,0.3696289,1.0317383,1
2.7041016,0.30419922,1.0214844,1
2.834961,0.25195312,0.92041016,1
2.9648438,0.14453125,0.90966797,1
2.9760742,-0.010253906,1.,1
2.9389648,-0.1459961,1.1416016,1
2.8828125,-0.22070312,1.387207,1
2.7700195,-0.3720703,1.4458008,1
2.6601562,-0.4580078,1.3969727,1
2.4956055,-0.36523438,1.309082,1
2.4526367,-0.20800781,1.4916992,1
2.3100586,-0.033691406,1.5444336,1
2.0527344,0.08105469,1.6035156,1
1.9584961,-0.06689453,1.7915039,1
1.7475586,-0.111816406,1.8457031,1
1.578125,-0.18896484,1.9824219,1
1.605957,-0.22460938,2.0371094,1
1.6333008,-0.1899414,2.0600586,1
1.8515625,-0.20263672,2.0097656,1
2.0922852,-0.23144531,1.9301758,1
2.3735352,-0.2709961,1.8222656,1
2.5419922,-0.19677734,1.7929688,1
2.8061523,-0.022460938,1.8481445,1
2.8051758,0.12158203,1.8549805,1
2.489746,0.17675781,1.8491211,1
2.1420898,0.14404297,1.7304688,1
2.003418,0.09375,1.7358398,1
1.9794922,0.0068359375,1.7041016,1
1.9599609,-0.00390625,1.7226562,1
1.9414062,-0.09423828,1.7021484,1
1.8803711,-0.15283203,1.565918,1
1.894043,-0.16796875,1.597168,1
1.7709961,-0.1430664,1.4545898,1
1.7573242,-0.14697266,1.5024414,1
1.7407227,-0.13964844,1.4682617,1
1.6347656,-0.07714844,1.4570312,1
1.515625,-0.012207031,1.3959961,1
1.5087891,-0.01171875,1.409668,1
1.5849609,0.04638672,1.4399414,1
1.5664062,0.071777344,1.3745117,1
1.5043945,0.060546875,1.28125,1
1.4331055,0.021972656,1.331543,1
1.4355469,0.017578125,1.2714844,1
1.4194336,0.07861328,1.2456055,1
1.4892578,0.106933594,1.2075195,1
1.5356445,0.16845703,1.2055664,1
1.5708008,0.20703125,1.171875,1
1.5893555,0.23486328,1.1181641,1
1.6206055,0.21484375,1.0874023,1
1.6391602,0.20214844,1.0258789,1
1.7387695,0.17382812,0.99902344,1
1.7988281,0.08300781,1.065918,1
1.8764648,-0.018554688,1.1420898,1
1.9765625,-0.1171875,1.2285156,1
2.019043,-0.17138672,1.3022461,1
2.0175781,-0.25830078,1.2866211,1
1.9731445,-0.30664062,1.2944336,1
2.0009766,-0.3046875,1.277832,1
2.1503906,-0.2421875,1.2041016,1
2.3266602,-0.15039062,1.0571289,1
2.5405273,-0.10888672,0.9350586,1
2.774414,-0.05126953,0.8442383,1
2.953125,-0.071777344,0.90722656,1
3.052246,-0.08300781,0.99658203,1
3.0483398,-0.0073242188,1.125,1
2.9956055,0.10205078,1.1870117,1
2.9404297,0.23828125,1.2788086,1
2.6948242,0.31152344,1.1748047,1
2.4833984,0.2529297,1.2480469,1
2.5454102,0.07861328,1.418457,1
2.541504,-0.15478516,1.7001953,1
2.3261719,-0.27734375,1.7939453,1
2.15625,-0.32910156,1.7998047,1
2.0458984,-0.22802734,1.831543,1
1.9067383,-0.13916016,1.9433594,1
1.8100586,0.07519531,1.9960938,1
1.8422852,0.17675781,2.0229492,1
1.9584961,0.12451172,1.9814453,1
2.043457,0.12939453,1.9594727,1
2.1362305,0.123046875,1.9355469,1
2.0751953,0.15234375,1.8764648,1
2.027832,0.140625,1.8720703,1
2.1035156,0.06982422,1.8691406,1
2.2226562,-0.01171875,1.8305664,1
2.2768555,-0.041992188,1.7993164,1
2.121582,-0.044921875,1.7753906,1
2.0581055,0.017578125,1.7426758,1
1.8769531,0.16455078,1.6879883,1
1.8950195,0.18847656,1.6855469,1
1.8227539,0.16552734,1.6420898,1
1.9023438,0.17822266,1.5541992,1
1.7719727,0.12109375,1.5092773,1
1.9116211,0.05908203,1.4990234,1
1.7695312,0.061035156,1.4853516,1
1.6640625,0.02734375,1.4189453,1
1.6318359,-0.0146484375,1.3842773,1
1.5683594,0.015625,1.3706055,1
1.6210938,-0.021972656,1.4169922,1
1.6948242,0.04296875,1.3569336,1
1.737793,0.08300781,1.3686523,1
1.6367188,0.15039062,1.3413086,1
1.6411133,0.18798828,1.328125,1
1.6166992,0.19091797,1.3085938,1
1.6699219,0.18310547,1.2880859,1
1.652832,0.118652344,1.2680664,1
1.6503906,0.061523438,1.2490234,1
1.6767578,0.0014648438,1.2260742,1
1.7167969,0.0043945312,1.2026367,1
1.7421875,-0.027832031,1.1948242,1
1.7348633,-0.04736328,1.1435547,1
1.7514648,-0.049804688,1.0698242,1
1.703125,-0.049804688,1.0795898,1
1.6743164,-0.052734375,1.0908203,1
1.6962891,-0.041992188,1.1254883,1
1.7827148,-0.013671875,1.1308594,1
1.7905273,0.049316406,1.1230469,1
1.8852539,0.08105469,1.0761719,1
2.0498047,0.119140625,1.0576172,1
2.2827148,0.1274414,1.015625,1
2.5341797,0.13720703,0.9433594,1
2.6367188,0.07373047,0.9326172,1
2.6523438,0.04345703,0.94921875,1
2.666504,0.005859375,0.8383789,1
2.6826172,-0.040527344,0.95458984,1
2.715332,-0.091308594,1.1811523,1
2.697754,-0.17578125,1.4487305,1
2.6811523,-0.34033203,1.4672852,1
2.6567383,-0.38720703,1.2475586,1
2.65625,-0.3852539,1.3520508,1
2.5361328,-0.11328125,1.4702148,1
2.3847656,0.17871094,1.5605469,1
2.2514648,0.2607422,1.7871094,1
2.149414,0.29003906,1.890625,1
1.8686523,0.2939453,1.9633789,1
1.7128906,0.10986328,2.0961914,1
1.6572266,-0.17626953,2.041504,1
1.7319336,-0.4038086,2.0517578,1
1.8798828,-0.53515625,1.9414062,1
2.0703125,-0.5595703,1.8623047,1
2.2319336,-0.5214844,1.8369141,1
2.3251953,-0.39697266,1.7729492,1
2.5219727,-0.20117188,1.8359375,1
2.6791992,-0.034179688,1.737793,1
2.5112305,0.013671875,1.7548828,1
2.296875,0.018554688,1.769043,1
2.0854492,0.0048828125,1.703125,1
1.9111328,-0.024414062,1.7514648,1
1.8481445,-0.12646484,1.6801758,1
1.8608398,-0.17382812,1.6274414,1
1.9956055,-0.16455078,1.5820312,1
1.996582,-0.1616211,1.5498047,1
1.987793,-0.1171875,1.5019531,1
1.8745117,-0.10644531,1.4506836,1
1.8232422,-0.060546875,1.4677734,1
1.7709961,-0.012207031,1.4433594,1
1.7709961,0.027832031,1.4311523,1
1.7578125,0.07763672,1.4116211,1
1.6713867,0.10498047,1.3676758,1
1.6591797,0.04296875,1.3637695,1
1.5874023,0.013183594,1.3183594,1
1.5834961,-0.026367188,1.3164062,1
1.4589844,-0.07519531,1.2744141,1
1.4892578,-0.06201172,1.2729492,1
1.5107422,-0.028320312,1.2675781,1
1.4794922,0.021972656,1.2216797,1
1.5078125,0.03125,1.234375,1
1.5249023,0.020019531,1.1894531,1
1.5576172,0.048828125,1.1513672,1
1.5986328,0.06738281,1.1132812,1
1.5537109,0.0625,1.0859375,1
1.5761719,0.06542969,1.0356445,1
