"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
-1.2480469,0.18798828,2.0136719,1,0,91,6,1,4
-1.4663086,0.22558594,1.7094727,1,0,92,6,1,4
-1.4716797,0.061523438,1.5888672,1,0,93,6,1,4
-1.2763672,-0.46728516,1.4316406,1,0,94,6,1,4
-1.0717773,-0.9692383,1.1943359,1,0,95,6,1,4
-0.8222656,-1.1352539,1.0009766,1,0,96,6,1,4
-0.36767578,-1.0185547,0.9682617,1,0,97,6,1,4
-0.18945312,-0.7836914,1.0131836,1,0,98,6,1,4
-0.10595703,-0.74560547,1.3686523,1,0,99,6,1,4
0.045898438,-0.8408203,1.6206055,1,0,100,6,1,4
-0.017089844,-0.45410156,2.649414,1,0,101,6,1,4
-0.115722656,-0.3984375,3.7294922,1,0,102,6,1,4
0.10644531,-0.4116211,3.5327148,1,0,103,6,1,4
0.8071289,-0.3701172,2.711914,1,0,104,6,1,4
1.9111328,-0.33447266,2.0786133,1,0,105,6,1,4
2.878418,0.6357422,2.2919922,1,0,106,6,1,4
3.7905273,1.9145508,2.5585938,1,0,107,6,1,4
4.7661133,3.0629883,2.5097656,1,0,108,6,1,4
6.977051,3.880371,2.802246,1,0,109,7,1,4
7.182617,2.6953125,2.6777344,1,0,110,7,1,4
3.6831055,1.3398438,2.5219727,1,0,111,7,1,4
3.7548828,0.8261719,2.380371,1,0,112,7,1,4
4.7841797,0.7993164,2.3061523,1,0,113,7,1,4
5.1401367,0.95410156,2.0654297,1,0,114,7,1,4
5.15625,0.8574219,1.9223633,1,0,115,7,1,4
4.7944336,0.6845703,1.7773438,1,0,116,7,1,4
4.618164,0.5283203,1.7617188,1,0,117,7,1,4
4.1875,0.39453125,1.7651367,1,0,118,7,1,4
3.5976562,0.35498047,1.9306641,1,0,119,7,1,4
2.8398438,0.28320312,2.0073242,1,0,120,7,1,4
1.9975586,0.071777344,2.0424805,1,0,121,7,1,4
1.2636719,0.011230469,2.1279297,1,0,122,7,1,4
0.51123047,-0.016601562,1.9008789,1,0,123,7,1,4
0.15917969,-0.28320312,1.8833008,1,0,124,7,1,4
-0.015625,-0.41259766,1.9692383,1,0,125,7,1,4
-0.4428711,-0.5683594,2.3232422,1,0,126,7,1,4
-0.7915039,-0.73535156,2.4941406,1,0,127,8,1,4
-0.9243164,-0.5859375,2.4506836,1,0,128,8,1,4
-1.1289062,-0.23046875,2.1015625,1,0,129,8,1,4
-1.3666992,0.20947266,1.7524414,1,0,130,8,1,4
-1.262207,0.66259766,1.6416016,1,0,131,8,1,4
-1.5546875,1.1025391,1.3999023,1,0,132,8,1,4
-1.2988281,1.3691406,1.1513672,1,0,133,8,1,4
-0.9316406,1.2719727,1.1235352,1,0,134,8,1,4
-0.2602539,0.78759766,1.1206055,1,0,135,8,1,4
0.296875,0.42822266,1.5219727,1,0,136,8,1,4
0.42041016,0.11816406,1.9125977,1,0,137,8,1,4
0.1381836,-0.3461914,2.5791016,1,0,138,8,1,4
-0.20996094,-0.3232422,3.1074219,1,0,139,8,1,4
-0.31445312,-0.45166016,3.024414,1,0,140,8,1,4
0.46240234,-0.5966797,2.2338867,1,0,141,8,1,4
2.4770508,-0.024902344,1.706543,1,0,142,8,1,4
4.1411133,-0.23291016,2.7060547,1,0,143,8,1,4
6.76709,-0.68408203,2.4907227,1,0,144,8,1,4
8.839844,-1.3427734,2.9501953,1,0,145,9,1,4
5.036133,-2.046875,2.449707,1,0,146,9,1,4
2.7441406,-1.9790039,1.7260742,1,0,147,9,1,4
4.3842773,-1.4594727,2.0986328,1,0,148,9,1,4
4.479492,-1.2758789,2.1357422,1,0,149,9,1,4
5.010742,-0.9243164,1.8847656,1,0,150,9,1,4
5.8881836,-0.7060547,1.7397461,1,0,151,9,1,4
5.35791,-0.6191406,1.574707,1,0,152,9,1,4
4.8691406,-0.4868164,1.5004883,1,0,153,9,1,4
4.6098633,-0.32861328,1.6923828,1,0,154,9,1,4
4.137207,-0.18457031,1.7070312,1,0,155,9,1,4
3.8486328,-0.111328125,1.8139648,1,0,156,9,1,4
3.1416016,0.024902344,1.921875,1,0,157,9,1,4
2.3613281,0.028320312,1.9960938,1,0,158,9,1,4
1.5170898,0.068359375,1.9868164,1,0,159,9,1,4
0.8618164,-0.028808594,1.6630859,1,0,160,9,1,4
0.38134766,0.0063476562,1.6381836,1,0,161,9,1,4
-0.07519531,0.13574219,1.8847656,1,0,162,9,1,4
-0.13330078,0.51416016,2.3823242,1,0,163,10,1,4
-0.56884766,0.9067383,2.4262695,1,0,164,10,1,4
-1.2241211,0.69140625,2.5761719,1,0,165,10,1,4
-1.7207031,0.3100586,2.1235352,1,0,166,10,1,4
-1.9262695,0.08935547,1.480957,1,0,167,10,1,4
-1.5917969,-0.24658203,1.512207,1,0,168,10,1,4
-1.4316406,-0.68359375,1.3383789,1,0,169,10,1,4
-0.9794922,-1.2871094,1.309082,1,0,170,10,1,4
-0.50927734,-1.4384766,0.99658203,1,0,171,10,1,4
-0.107421875,-1.1293945,1.0810547,1,0,172,10,1,4
0.17138672,-0.6928711,1.3911133,1,0,173,10,1,4
0.33154297,-0.3388672,1.6479492,1,0,174,10,1,4
0.14746094,0.06738281,1.8061523,1,0,175,10,1,4
0.00390625,-0.011230469,1.8046875,1,0,176,10,1,4
-0.24658203,0.16259766,2.7612305,1,0,177,10,1,4
0.15966797,-0.041503906,3.2519531,1,0,178,10,1,4
1.2631836,0.08154297,3.5810547,1,0,179,10,1,4
1.4667969,0.17480469,3.1479492,1,0,180,10,1,4
1.8725586,-0.37939453,2.338379,1,0,181,11,1,4
3.9301758,1.4130859,2.2436523,1,0,182,11,1,4
5.6274414,2.4082031,2.3320312,1,0,183,11,1,4
6.811035,3.6450195,2.3154297,1,0,184,11,1,4
6.7456055,2.817871,2.1132812,1,0,185,11,1,4
5.0629883,1.8354492,1.7138672,1,0,186,11,1,4
4.739258,1.2182617,1.8833008,1,0,187,11,1,4
4.715332,0.70458984,1.8383789,1,0,188,11,1,4
5.0844727,0.58935547,1.7387695,1,0,189,11,1,4
5.0527344,0.5913086,1.5805664,1,0,190,11,1,4
4.567871,0.38378906,1.5605469,1,0,191,11,1,4
4.7958984,0.34033203,1.5004883,1,0,192,11,1,4
4.6186523,0.4399414,1.5371094,1,0,193,11,1,4
