"x","y","z","interval_no"
-1.5154345178685988,-0.11005217267863124,-0.9022820606699028,1
-1.3707219706559672,-0.01163859569913504,-0.62304772313882,1
-1.6719132070821523,0.17716343154135605,-0.4506468765435644,1
-1.538332723269343,0.2634526784759906,-0.31903056432763033,1
-1.3549523897598634,0.4440843443340779,-0.1644746354740464,1
-1.2847488894355386,0.4450545169841827,-0.2275173856764202,1
-1.16232691028224,0.40116556634686823,-0.40155687143075486,1
-0.8982271981441043,0.21857014729055949,-0.7110708686351442,1
-0.7678093342037527,0.13730130457559384,-0.8613969071450343,1
-0.7862750870511014,0.10766626896906176,-0.7411213080146103,1
-0.8169688484531474,0.268970247547038,-0.48833186009793594,1
-0.7108795299115886,0.8037412068462478,-0.05987560077884761,1
0.8909511947362168,1.0924681463486479,-0.08190427198498118,1
5.446427148989638,0.4105165351347218,-1.1211208865270748,1
3.685389722783405,-0.028617427436393304,4.929086492307521,1
6.3286155164604505,-0.9547880039533777,2.459869689452301,1
1.8958566276094793,-1.0841504916084166,-1.3899662302458995,1
-0.5462061129636637,-0.7802303067077572,-1.154221190928393,1
-0.7773432345951102,-1.3251179710800043,0.7140639062646863,1
0.04142315394810625,-0.8761967356979162,0.9054994001799161,1
1.4221056835908414,-0.5581484016932925,0.8204741367405584,1
1.794526082189574,-0.40037513086333887,0.5008997471221129,1
1.5731877327388162,-0.401907286840474,0.21339975875160977,1
1.1626898482086339,-0.192886970791654,0.17724697250433685,1
0.7208513707569524,-0.03171943741044874,0.24358961665370243,1
0.4000517315179657,0.0766269307858155,0.3641443281661566,1
0.16278434836008193,0.06583222728883513,0.4040402541538374,1
-0.08079746577888758,0.11690667129622882,0.331945765895473,1
-0.28751533429092024,0.15678386682181672,0.23994057447289022,1
-0.49487664549800514,0.12913150900747628,0.12281627534742,1
-0.7422316787450813,0.07974929088447824,-0.029455710393631887,1
-0.9852225331899491,0.08403269242324621,-0.1286344914127137,1
-1.1284357523992647,0.10587236770619782,-0.1963361475606389,1
-1.2152505983167767,0.10055432254488864,-0.24220321183894733,1
-1.3642362746266476,0.09351357881209488,-0.38618677919858113,1
-1.5779803281272184,0.031600402358151154,-0.5743053704590838,1
-1.761287067481338,0.14507276445910672,-0.7523534755120556,1
-1.3479602566501536,0.3078398383239854,-0.6999061185382198,1
-1.6197478391969033,0.27900330653945016,-0.7923498195635796,1
-1.6126225891280488,0.15251444237149356,-0.5228127873085016,1
-1.585384230731806,0.03752043747043432,-0.36470935389802567,1
-1.4718557824056762,-0.01929579518450666,-0.18658470111079936,1
-1.2654947384263515,-0.3004743968732104,-0.26899291274256154,1
-1.0416683058996346,-0.16937710987338545,-0.524262557216311,1
-0.8774014493605614,-0.02895072660760593,-0.6605026165050217,1
-0.7110994062414293,0.02026408610515871,-0.7756480052742966,1
-0.6227273205932603,0.07054910038871991,-0.8703373253129896,1
-0.7705999855268363,-0.087018944552481,-0.685709951467004,1
-0.6893325668104239,-0.5692704319729126,-0.4481292203729107,1
0.5381380838938101,-1.2083554503369467,-0.48871103436271895,1
4.8853863213128985,-0.5095524344894883,-0.9313071739488838,1
4.762666171692606,-0.20525156866935645,4.590603742344034,1
5.620441002583442,-0.686475112784474,2.537246145188487,1
1.5769239900236842,1.1831354718521787,-1.2170558781198495,1
-0.6085640388352757,1.1171125565256734,-0.7445324927670577,1
-0.8423320207444421,1.0221706560947854,0.7330122249314277,1
-0.3903213774784573,1.1452443965585308,0.6751924749523597,1
1.0929951583727604,0.6253012942631322,0.5768650037576912,1
1.678242351649963,0.35608372993128395,0.5794522029652607,1
1.2987517313618238,0.4465283348364882,0.41386722462073955,1
0.7472328976202998,0.27149950023664493,0.24524805870349237,1
0.6978630378065316,-0.00029529768270078775,0.20017049378479929,1
0.6354559420245292,-0.12797914474396982,0.15385451917905468,1
0.4769681306352662,-0.21670974365630205,0.15456148870159148,1
0.21695392587090656,-0.2184220305548816,0.18005061288219243,1
-0.04471166577384733,-0.16082427256610937,0.1600991743956171,1
-0.28911582093832966,-0.12986143212859552,0.11449665888097851,1
-0.468329421226123,-0.062309508748728246,0.1027939842857585,1
-0.6478275393257857,0.006177330910910405,0.04145266480723381,1
-0.8077100809101011,0.022055586945172862,-0.035602921683545424,1
-0.9384574817631623,-0.001830976736758407,-0.15406445046912864,1
-1.10236994662743,-0.06989496588317547,-0.3486760238242081,1
-1.3186255865164667,-0.10440072518413765,-0.4144734165214897,1
-1.510544863077392,-0.1197572288685448,-0.5120057526913893,1
-1.5731603749024232,-0.2611939493377063,-0.7844770045255381,1
-1.5493185791075992,-0.32217988403107356,-0.9890047944622407,1
-1.2757751886524198,-0.15507168316784226,-0.673213546151204,1
-1.6780268810022128,0.09569014931027227,-0.502207681640999,1
-1.5991140795908085,0.2876566581323282,-0.31164128232910804,1
-1.454116488546282,0.39357303945438676,-0.20212352866682992,1
-1.2294176722287358,0.5458349945008025,-0.13301112239763735,1
-1.0754805262746634,0.42360014988291167,-0.4233540601392564,1
-0.855907249879089,0.2790465357952615,-0.8530997675670808,1
-0.7367426539108457,0.14544988247249982,-0.9876753656075077,1
-0.8083187224789716,0.16187779895554255,-0.7473226331695535,1
-0.8756657279170863,0.2804960946251964,-0.4971083301476077,1
-0.8067687933261215,0.801230549806125,0.03534954816483861,1
0.9679204640834675,1.1506915884920654,-0.023853184204049138,1
5.799305416532448,0.40750624140939423,-1.1874330470595904,1
3.839669111856495,-0.052514384118583377,5.272835681892667,1
6.509932864444169,-1.1020971492596183,2.621564201828226,1
1.6296453448121233,-1.0786363086538946,-1.6150660874572937,1
-0.8174280952396965,-0.7099886726371966,-1.2948165649683416,1
-1.000618472727781,-1.2406729775433099,0.8022441211839978,1
-0.1581628633411728,-0.7327309415933086,0.8865824662104858,1
1.3781298230020145,-0.378533202568836,0.8361120559542137,1
1.8657630348185612,-0.2936218083431471,0.5441952423597662,1
1.5755170279574675,-0.31720256218463094,0.20896951379162187,1
1.0726019195788297,-0.09461386889281771,0.13569125391189907,1
0.4910708761500333,-0.0018179653271559047,0.14158994644733253,1
0.16855297329979346,0.06547786500864618,0.33947228319633993,1
-0.022432821969220473,0.048613545044231314,0.3712292332943341,1
-0.24773845555867835,0.06289666628686578,0.30457985425110445,1
-0.44039096714630177,0.10031442567648567,0.20391744406373663,1
-0.626971636755091,0.04963764357620918,0.05568556401298583,1
-0.8422507169616006,0.013269604121039452,-0.10012386988510122,1
-1.0405033750017247,0.00751152918738649,-0.18287136977915433,1
-1.1686515462148614,0.04470269571950994,-0.19891119788011943,1
-1.2284211124333209,0.07960107611403297,-0.2459373567883431,1
-1.3211956064131603,0.110428473690391,-0.38468117565343296,1
-1.4842508858783683,0.08744140725151142,-0.5587115906601734,1
-1.65779334392603,0.223626386035106,-0.7275478068903857,1
-1.674853290830292,0.30785016270079907,-0.7542067134676482,1
-1.284911816709712,0.2629455962414347,-0.550939833306048,1
-1.5855086635099793,0.19179564380995417,-0.4731072191126364,1
-1.507991194862712,0.1485662395223071,-0.26636458075780467,1
-1.3424174001371225,-0.058806376695766674,-0.27012786049675863,1
-1.1705235419808422,-0.09297885142358697,-0.3856222486077387,1
-0.9617544210632606,-0.08247726343412977,-0.5702597864277279,1
-0.8278268223830083,-0.02896066345359822,-0.6747207011071257,1
-0.6873299295180109,0.05628116975113099,-0.8089856384406353,1
-0.7547370145952115,-0.011220963188486604,-0.794618447858384,1
-0.8966058611512069,-0.26344139950483203,-0.480950590765779,1
-0.34500879816395713,-0.9369150533441202,-0.5183241481676926,1
1.8007656810849486,-1.2617006176033507,-0.5089053394839426,1
