Interval_no,Peaks_Index, Peaks_value 
2, Rpeaks[36], 1845,stepDiff = 30 
2, Rpeaks[37], 1880,stepDiff = 35 
2, Rpeaks[38], 1913,stepDiff = 33 
2, Rpeaks[39], 1943,stepDiff = 30 
2, Rpeaks[40], 1974,stepDiff = 31 
2, Rpeaks[41], 2006,stepDiff = 32 
2, Rpeaks[42], 2035,stepDiff = 29 
2, Rpeaks[43], 2066,stepDiff = 31 
2, Rpeaks[44], 2099,stepDiff = 33 
2, Rpeaks[45], 2129,stepDiff = 30 
2, Rpeaks[46], 2161,stepDiff = 32 
2, Rpeaks[47], 2190,stepDiff = 29 
2, Rpeaks[48], 2222,stepDiff = 32 
2, Rpeaks[49], 2252,stepDiff = 30 
2, Rpeaks[50], 2282,stepDiff = 30 
2, Rpeaks[51], 2313,stepDiff = 31 
2, Rpeaks[52], 2342,stepDiff = 29 
2, Rpeaks[53], 2374,stepDiff = 32 
2, Rpeaks[54], 2404,stepDiff = 30 
2, Rpeaks[55], 2433,stepDiff = 29 
2, Rpeaks[56], 2467,stepDiff = 34 
2, Rpeaks[57], 2496,stepDiff = 29 
2, Rpeaks[58], 2529,stepDiff = 33 
2, Rpeaks[59], 2560,stepDiff = 31 
2, Rpeaks[60], 2594,stepDiff = 34 
2, Rpeaks[61], 2625,stepDiff = 31 
2, Rpeaks[62], 2658,stepDiff = 33 
2, Rpeaks[63], 2689,stepDiff = 31 
2, Rpeaks[64], 2720,stepDiff = 31 
2, Rpeaks[65], 2749,stepDiff = 29 
2, Rpeaks[66], 2784,stepDiff = 35 
2, Rpeaks[67], 2813,stepDiff = 29 
2, Rpeaks[68], 2845,stepDiff = 32 
2, Rpeaks[69], 2875,stepDiff = 30 
2, Rpeaks[70], 2908,stepDiff = 33 
2, Rpeaks[71], 2937,stepDiff = 29 
