"Interval_no","Peaks_Index","Peaks_value"
3,"Rpeaks[43]",1627
3,"Rpeaks[44]",1663
3,"Rpeaks[45]",1699
3,"Rpeaks[46]",1735
3,"Rpeaks[47]",1771
3,"Rpeaks[48]",1806
3,"Rpeaks[49]",1842
3,"Rpeaks[50]",1877
3,"Rpeaks[51]",1913
3,"Rpeaks[52]",1949
3,"Rpeaks[53]",1986
3,"Rpeaks[54]",2020
3,"Rpeaks[55]",2056
3,"Rpeaks[56]",2091
3,"Rpeaks[57]",2128
3,"Rpeaks[58]",2163
3,"Rpeaks[59]",2200
3,"Rpeaks[60]",2235
3,"Rpeaks[61]",2271
3,"Rpeaks[62]",2307
3,"Rpeaks[63]",2343
3,"Rpeaks[64]",2378
3,"Rpeaks[65]",2414
3,"Rpeaks[66]",2449
3,"Rpeaks[67]",2486
3,"Rpeaks[68]",2521
3,"Rpeaks[69]",2557
3,"Rpeaks[70]",2592
3,"Rpeaks[71]",2628
3,"Rpeaks[72]",2664
3,"Rpeaks[73]",2700
3,"Rpeaks[74]",2736
3,"Rpeaks[75]",2772
3,"Rpeaks[76]",2807
3,"Rpeaks[77]",2843
3,"Rpeaks[78]",2878
3,"Rpeaks[79]",2915
3,"Rpeaks[80]",2950
4,"Rpeaks[0]",93
4,"Rpeaks[1]",129
4,"Rpeaks[2]",163
4,"Rpeaks[3]",199
4,"Rpeaks[4]",234
4,"Rpeaks[5]",271
4,"Rpeaks[6]",307
4,"Rpeaks[7]",344
4,"Rpeaks[8]",379
4,"Rpeaks[9]",415
4,"Rpeaks[10]",450
4,"Rpeaks[11]",486
4,"Rpeaks[12]",522
4,"Rpeaks[13]",558
4,"Rpeaks[14]",593
4,"Rpeaks[15]",630
4,"Rpeaks[16]",665
4,"Rpeaks[17]",702
4,"Rpeaks[18]",736
4,"Rpeaks[19]",774
4,"Rpeaks[20]",807
4,"Rpeaks[21]",844
4,"Rpeaks[22]",879
4,"Rpeaks[23]",914
4,"Rpeaks[24]",949
4,"Rpeaks[25]",986
4,"Rpeaks[26]",1021
4,"Rpeaks[27]",1057
4,"Rpeaks[28]",1092
4,"Rpeaks[29]",1128
4,"Rpeaks[30]",1163
4,"Rpeaks[31]",1200
4,"Rpeaks[32]",1234
4,"Rpeaks[33]",1270
4,"Rpeaks[34]",1305
4,"Rpeaks[35]",1341
4,"Rpeaks[36]",1376
4,"Rpeaks[37]",1413
4,"Rpeaks[38]",1448
4,"Rpeaks[39]",1483
4,"Rpeaks[40]",1518
4,"Rpeaks[41]",1554
4,"Rpeaks[42]",1589
4,"Rpeaks[43]",1626
4,"Rpeaks[44]",1661
4,"Rpeaks[45]",1698
4,"Rpeaks[46]",1731
4,"Rpeaks[47]",1768
4,"Rpeaks[48]",1802
4,"Rpeaks[49]",1838
4,"Rpeaks[50]",1873
4,"Rpeaks[51]",1909
4,"Rpeaks[52]",1945
4,"Rpeaks[53]",1981
4,"Rpeaks[54]",2015
4,"Rpeaks[55]",2052
4,"Rpeaks[56]",2087
4,"Rpeaks[57]",2123
4,"Rpeaks[58]",2158
4,"Rpeaks[59]",2195
4,"Rpeaks[60]",2228
4,"Rpeaks[61]",2264
4,"Rpeaks[62]",2299
4,"Rpeaks[63]",2335
4,"Rpeaks[64]",2370
4,"Rpeaks[65]",2407
4,"Rpeaks[66]",2441
4,"Rpeaks[67]",2477
4,"Rpeaks[68]",2513
4,"Rpeaks[69]",2548
4,"Rpeaks[70]",2584
4,"Rpeaks[71]",2620
4,"Rpeaks[72]",2655
4,"Rpeaks[73]",2691
4,"Rpeaks[74]",2727
4,"Rpeaks[75]",2763
4,"Rpeaks[76]",2797
4,"Rpeaks[77]",2834
4,"Rpeaks[78]",2869
4,"Rpeaks[79]",2905
4,"Rpeaks[80]",2940
5,"Rpeaks[0]",95
5,"Rpeaks[1]",131
5,"Rpeaks[2]",166
5,"Rpeaks[3]",202
5,"Rpeaks[4]",237
5,"Rpeaks[5]",274
5,"Rpeaks[6]",308
5,"Rpeaks[7]",344
5,"Rpeaks[8]",379
5,"Rpeaks[9]",415
5,"Rpeaks[10]",449
5,"Rpeaks[11]",486
5,"Rpeaks[12]",521
5,"Rpeaks[13]",557
5,"Rpeaks[14]",592
5,"Rpeaks[15]",628
5,"Rpeaks[16]",662
5,"Rpeaks[17]",699
5,"Rpeaks[18]",733
5,"Rpeaks[19]",770
5,"Rpeaks[20]",805
5,"Rpeaks[21]",841
5,"Rpeaks[22]",876
5,"Rpeaks[23]",912
5,"Rpeaks[24]",947
5,"Rpeaks[25]",983
5,"Rpeaks[26]",1018
5,"Rpeaks[27]",1054
5,"Rpeaks[28]",1088
5,"Rpeaks[29]",1125
5,"Rpeaks[30]",1158
5,"Rpeaks[31]",1196
5,"Rpeaks[32]",1229
5,"Rpeaks[33]",1265
5,"Rpeaks[34]",1300
5,"Rpeaks[35]",1336
5,"Rpeaks[36]",1371
5,"Rpeaks[37]",1407
5,"Rpeaks[38]",1441
5,"Rpeaks[39]",1477
5,"Rpeaks[40]",1512
5,"Rpeaks[41]",1548
5,"Rpeaks[42]",1582
5,"Rpeaks[43]",1619
5,"Rpeaks[44]",1653
5,"Rpeaks[45]",1689
5,"Rpeaks[46]",1724
5,"Rpeaks[47]",1760
5,"Rpeaks[48]",1795
5,"Rpeaks[49]",1831
5,"Rpeaks[50]",1865
5,"Rpeaks[51]",1901
5,"Rpeaks[52]",1935
5,"Rpeaks[53]",1971
5,"Rpeaks[54]",2005
5,"Rpeaks[55]",2042
5,"Rpeaks[56]",2076
5,"Rpeaks[57]",2113
5,"Rpeaks[58]",2147
5,"Rpeaks[59]",2183
5,"Rpeaks[60]",2217
5,"Rpeaks[61]",2253
5,"Rpeaks[62]",2287
5,"Rpeaks[63]",2323
5,"Rpeaks[64]",2357
5,"Rpeaks[65]",2393
5,"Rpeaks[66]",2428
5,"Rpeaks[67]",2464
5,"Rpeaks[68]",2498
5,"Rpeaks[69]",2535
5,"Rpeaks[70]",2569
5,"Rpeaks[71]",2605
5,"Rpeaks[72]",2639
5,"Rpeaks[73]",2674
5,"Rpeaks[74]",2708
5,"Rpeaks[75]",2744
5,"Rpeaks[76]",2778
5,"Rpeaks[77]",2814
5,"Rpeaks[78]",2847
5,"Rpeaks[79]",2884
5,"Rpeaks[80]",2918
5,"Rpeaks[81]",2953
6,"Rpeaks[0]",75
6,"Rpeaks[1]",110
6,"Rpeaks[2]",146
6,"Rpeaks[3]",180
6,"Rpeaks[4]",216
6,"Rpeaks[5]",251
6,"Rpeaks[6]",288
6,"Rpeaks[7]",321
6,"Rpeaks[8]",358
6,"Rpeaks[9]",391
6,"Rpeaks[10]",427
6,"Rpeaks[11]",462
6,"Rpeaks[12]",498
6,"Rpeaks[13]",532
6,"Rpeaks[14]",567
6,"Rpeaks[15]",602
6,"Rpeaks[16]",639
6,"Rpeaks[17]",673
6,"Rpeaks[18]",709
6,"Rpeaks[19]",743
6,"Rpeaks[20]",780
6,"Rpeaks[21]",813
6,"Rpeaks[22]",849
6,"Rpeaks[23]",883
6,"Rpeaks[24]",919
6,"Rpeaks[25]",953
6,"Rpeaks[26]",989
6,"Rpeaks[27]",1024
6,"Rpeaks[28]",1059
6,"Rpeaks[29]",1094
6,"Rpeaks[30]",1130
6,"Rpeaks[31]",1164
6,"Rpeaks[32]",1200
6,"Rpeaks[33]",1233
6,"Rpeaks[34]",1270
6,"Rpeaks[35]",1304
6,"Rpeaks[36]",1340
6,"Rpeaks[37]",1374
6,"Rpeaks[38]",1410
6,"Rpeaks[39]",1444
6,"Rpeaks[40]",1480
6,"Rpeaks[41]",1515
6,"Rpeaks[42]",1550
6,"Rpeaks[43]",1585
6,"Rpeaks[44]",1621
6,"Rpeaks[45]",1655
6,"Rpeaks[46]",1691
6,"Rpeaks[47]",1726
6,"Rpeaks[48]",1762
6,"Rpeaks[49]",1796
6,"Rpeaks[50]",1832
6,"Rpeaks[51]",1867
6,"Rpeaks[52]",1902
6,"Rpeaks[53]",1937
6,"Rpeaks[54]",1973
6,"Rpeaks[55]",2008
6,"Rpeaks[56]",2044
6,"Rpeaks[57]",2079
6,"Rpeaks[58]",2115
6,"Rpeaks[59]",2150
6,"Rpeaks[60]",2186
6,"Rpeaks[61]",2220
6,"Rpeaks[62]",2257
6,"Rpeaks[63]",2291
6,"Rpeaks[64]",2328
6,"Rpeaks[65]",2362
6,"Rpeaks[66]",2398
6,"Rpeaks[67]",2432
6,"Rpeaks[68]",2469
6,"Rpeaks[69]",2502
6,"Rpeaks[70]",2538
6,"Rpeaks[71]",2572
6,"Rpeaks[72]",2609
6,"Rpeaks[73]",2644
6,"Rpeaks[74]",2679
6,"Rpeaks[75]",2713
6,"Rpeaks[76]",2750
6,"Rpeaks[77]",2785
6,"Rpeaks[78]",2821
6,"Rpeaks[79]",2855
6,"Rpeaks[80]",2891
6,"Rpeaks[81]",2926
7,"Rpeaks[0]",73
7,"Rpeaks[1]",109
7,"Rpeaks[2]",143
7,"Rpeaks[3]",178
7,"Rpeaks[4]",213
7,"Rpeaks[5]",249
7,"Rpeaks[6]",283
7,"Rpeaks[7]",319
7,"Rpeaks[8]",353
7,"Rpeaks[9]",389
7,"Rpeaks[10]",423
7,"Rpeaks[11]",459
7,"Rpeaks[12]",492
7,"Rpeaks[13]",528
7,"Rpeaks[14]",562
7,"Rpeaks[15]",598
7,"Rpeaks[16]",632
7,"Rpeaks[17]",669
7,"Rpeaks[18]",702
7,"Rpeaks[19]",739
7,"Rpeaks[20]",772
7,"Rpeaks[21]",807
7,"Rpeaks[22]",842
7,"Rpeaks[23]",879
7,"Rpeaks[24]",913
7,"Rpeaks[25]",949
7,"Rpeaks[26]",983
7,"Rpeaks[27]",1018
7,"Rpeaks[28]",1052
7,"Rpeaks[29]",1088
7,"Rpeaks[30]",1122
7,"Rpeaks[31]",1159
7,"Rpeaks[32]",1193
7,"Rpeaks[33]",1229
7,"Rpeaks[34]",1262
7,"Rpeaks[35]",1298
7,"Rpeaks[36]",1332
7,"Rpeaks[37]",1368
7,"Rpeaks[38]",1401
7,"Rpeaks[39]",1438
7,"Rpeaks[40]",1472
7,"Rpeaks[41]",1509
7,"Rpeaks[42]",1541
7,"Rpeaks[43]",1578
7,"Rpeaks[44]",1611
7,"Rpeaks[45]",1647
7,"Rpeaks[46]",1681
7,"Rpeaks[47]",1718
7,"Rpeaks[48]",1752
7,"Rpeaks[49]",1788
7,"Rpeaks[50]",1822
7,"Rpeaks[51]",1858
7,"Rpeaks[52]",1893
7,"Rpeaks[53]",1929
7,"Rpeaks[54]",1963
7,"Rpeaks[55]",1999
7,"Rpeaks[56]",2033
7,"Rpeaks[57]",2069
7,"Rpeaks[58]",2103
7,"Rpeaks[59]",2139
7,"Rpeaks[60]",2173
7,"Rpeaks[61]",2209
7,"Rpeaks[62]",2244
7,"Rpeaks[63]",2280
7,"Rpeaks[64]",2314
7,"Rpeaks[65]",2349
7,"Rpeaks[66]",2383
7,"Rpeaks[67]",2418
7,"Rpeaks[68]",2452
7,"Rpeaks[69]",2489
7,"Rpeaks[70]",2523
7,"Rpeaks[71]",2559
7,"Rpeaks[72]",2591
7,"Rpeaks[73]",2628
7,"Rpeaks[74]",2661
7,"Rpeaks[75]",2698
7,"Rpeaks[76]",2731
7,"Rpeaks[77]",2767
7,"Rpeaks[78]",2801
7,"Rpeaks[79]",2837
7,"Rpeaks[80]",2870
7,"Rpeaks[81]",2907
7,"Rpeaks[82]",2941
8,"Rpeaks[0]",78
8,"Rpeaks[1]",112
8,"Rpeaks[2]",146
8,"Rpeaks[3]",182
8,"Rpeaks[4]",216
8,"Rpeaks[5]",252
8,"Rpeaks[6]",285
8,"Rpeaks[7]",321
8,"Rpeaks[8]",355
8,"Rpeaks[9]",391
8,"Rpeaks[10]",425
8,"Rpeaks[11]",461
8,"Rpeaks[12]",494
8,"Rpeaks[13]",531
8,"Rpeaks[14]",564
8,"Rpeaks[15]",600
8,"Rpeaks[16]",634
8,"Rpeaks[17]",669
8,"Rpeaks[18]",703
8,"Rpeaks[19]",738
8,"Rpeaks[20]",773
8,"Rpeaks[21]",809
8,"Rpeaks[22]",843
8,"Rpeaks[23]",879
8,"Rpeaks[24]",912
8,"Rpeaks[25]",948
8,"Rpeaks[26]",981
8,"Rpeaks[27]",1017
8,"Rpeaks[28]",1050
8,"Rpeaks[29]",1086
8,"Rpeaks[30]",1120
8,"Rpeaks[31]",1156
8,"Rpeaks[32]",1189
8,"Rpeaks[33]",1225
8,"Rpeaks[34]",1260
8,"Rpeaks[35]",1296
8,"Rpeaks[36]",1329
8,"Rpeaks[37]",1366
8,"Rpeaks[38]",1399
8,"Rpeaks[39]",1434
8,"Rpeaks[40]",1468
8,"Rpeaks[41]",1504
8,"Rpeaks[42]",1537
8,"Rpeaks[43]",1574
8,"Rpeaks[44]",1607
8,"Rpeaks[45]",1644
8,"Rpeaks[46]",1677
8,"Rpeaks[47]",1713
8,"Rpeaks[48]",1747
8,"Rpeaks[49]",1783
8,"Rpeaks[50]",1817
8,"Rpeaks[51]",1852
8,"Rpeaks[52]",1887
8,"Rpeaks[53]",1923
8,"Rpeaks[54]",1956
8,"Rpeaks[55]",1993
8,"Rpeaks[56]",2026
8,"Rpeaks[57]",2061
8,"Rpeaks[58]",2096
8,"Rpeaks[59]",2132
8,"Rpeaks[60]",2166
8,"Rpeaks[61]",2201
8,"Rpeaks[62]",2236
8,"Rpeaks[63]",2270
8,"Rpeaks[64]",2305
8,"Rpeaks[65]",2341
8,"Rpeaks[66]",2375
8,"Rpeaks[67]",2411
8,"Rpeaks[68]",2445
8,"Rpeaks[69]",2481
8,"Rpeaks[70]",2515
8,"Rpeaks[71]",2551
8,"Rpeaks[72]",2585
8,"Rpeaks[73]",2621
8,"Rpeaks[74]",2690
8,"Rpeaks[75]",2723
8,"Rpeaks[76]",2758
8,"Rpeaks[77]",2792
8,"Rpeaks[78]",2827
8,"Rpeaks[79]",2862
8,"Rpeaks[80]",2897
8,"Rpeaks[81]",2931
9,"Rpeaks[0]",95
9,"Rpeaks[1]",128
9,"Rpeaks[2]",164
9,"Rpeaks[3]",197
9,"Rpeaks[4]",233
9,"Rpeaks[5]",267
9,"Rpeaks[6]",302
9,"Rpeaks[7]",335
9,"Rpeaks[8]",371
9,"Rpeaks[9]",405
9,"Rpeaks[10]",441
9,"Rpeaks[11]",475
9,"Rpeaks[12]",510
9,"Rpeaks[13]",544
9,"Rpeaks[14]",579
9,"Rpeaks[15]",615
9,"Rpeaks[16]",649
9,"Rpeaks[17]",682
9,"Rpeaks[18]",718
9,"Rpeaks[19]",751
9,"Rpeaks[20]",787
9,"Rpeaks[21]",821
9,"Rpeaks[22]",856
9,"Rpeaks[23]",890
9,"Rpeaks[24]",926
9,"Rpeaks[25]",959
9,"Rpeaks[26]",995
9,"Rpeaks[27]",1029
9,"Rpeaks[28]",1065
9,"Rpeaks[29]",1097
9,"Rpeaks[30]",1134
9,"Rpeaks[31]",1167
9,"Rpeaks[32]",1202
9,"Rpeaks[33]",1236
9,"Rpeaks[34]",1272
9,"Rpeaks[35]",1305
9,"Rpeaks[36]",1340
9,"Rpeaks[37]",1374
