"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
5.0981445,0.43945312,1.7958984,1,0,91,6,1,4
6.0507812,-1.3769531,2.3300781,1,0,92,6,1,4
6.460449,-3.7045898,3.0395508,1,0,93,6,1,4
4.6342773,-3.8007812,2.8920898,1,0,94,6,1,4
3.0297852,-3.0317383,2.5117188,1,0,95,6,1,4
3.522461,-1.5898438,2.6923828,1,0,96,6,1,4
3.2939453,-0.7910156,2.447754,1,0,97,6,1,4
3.4980469,-0.41796875,2.1645508,1,0,98,6,1,4
3.7963867,-0.1850586,1.8354492,1,0,99,6,1,4
4.848633,-0.12207031,1.8442383,1,0,100,6,1,4
4.9990234,-0.13720703,1.5668945,1,0,101,6,1,4
4.3217773,-0.47558594,1.5224609,1,0,102,6,1,4
4.215332,-0.3701172,1.4106445,1,0,103,6,1,4
4.0585938,-0.31054688,1.6289062,1,0,104,6,1,4
3.522461,-0.49365234,1.7436523,1,0,105,6,1,4
2.6796875,-0.57128906,1.7041016,1,0,106,6,1,4
2.0229492,-0.4658203,1.6811523,1,0,107,6,1,4
1.1748047,-0.27001953,1.6137695,1,0,108,6,1,4
0.19580078,-0.21923828,1.4174805,1,0,109,7,1,4
-0.34375,-0.25878906,1.534668,1,0,110,7,1,4
-0.39208984,-0.063964844,2.0683594,1,0,111,7,1,4
-0.54589844,0.5234375,2.5283203,1,0,112,7,1,4
-1.1035156,1.3105469,2.5576172,1,0,113,7,1,4
-1.496582,1.3779297,2.4023438,1,0,114,7,1,4
-1.6142578,1.1269531,1.5249023,1,0,115,7,1,4
-1.4482422,0.54003906,1.1572266,1,0,116,7,1,4
-1.6025391,-0.22949219,1.1889648,1,0,117,7,1,4
-1.4047852,-0.7841797,0.9301758,1,0,118,7,1,4
-0.7636719,-1.3222656,0.8364258,1,0,119,7,1,4
-0.16015625,-1.671875,0.6894531,1,0,120,7,1,4
0.703125,-1.3666992,1.2866211,1,0,121,7,1,4
0.9838867,-0.90185547,2.1416016,1,0,122,7,1,4
1.0893555,-0.47460938,2.809082,1,0,123,7,1,4
0.080078125,-0.026367188,3.9135742,1,0,124,7,1,4
-0.69384766,-0.5097656,3.1479492,1,0,125,7,1,4
0.60839844,-0.8339844,3.1835938,1,0,126,7,1,4
3.0708008,-0.025390625,1.7875977,1,0,127,8,1,4
3.6220703,1.359375,2.0341797,1,0,128,8,1,4
4.591797,3.2763672,2.1987305,1,0,129,8,1,4
5.602539,4.2856445,2.786621,1,0,130,8,1,4
5.727539,3.6547852,2.6206055,1,0,131,8,1,4
5.7163086,2.0893555,2.5800781,1,0,132,8,1,4
4.2197266,0.85791016,2.3896484,1,0,133,8,1,4
3.5732422,0.53125,1.9760742,1,0,134,8,1,4
3.8916016,1.1557617,1.7827148,1,0,135,8,1,4
5.21875,1.3286133,1.6484375,1,0,136,8,1,4
5.1660156,1.2705078,1.6450195,1,0,137,8,1,4
4.135254,1.0131836,1.4794922,1,0,138,8,1,4
4.331543,0.8222656,1.543457,1,0,139,8,1,4
4.0771484,0.6010742,1.6665039,1,0,140,8,1,4
3.6123047,0.4970703,1.6083984,1,0,141,8,1,4
2.875,0.5097656,1.597168,1,0,142,8,1,4
2.0478516,0.34228516,1.4140625,1,0,143,8,1,4
1.3242188,0.18310547,1.1850586,1,0,144,8,1,4
0.76660156,0.08300781,1.5595703,1,0,145,9,1,4
0.3774414,-0.12207031,1.5429688,1,0,146,9,1,4
-0.3696289,-0.55029297,1.7568359,1,0,147,9,1,4
-1.1171875,-1.2661133,1.8666992,1,0,148,9,1,4
-1.5698242,-1.769043,1.6923828,1,0,149,9,1,4
-2.0595703,-1.7646484,1.4921875,1,0,150,9,1,4
-2.1225586,-1.2114258,1.2753906,1,0,151,9,1,4
-1.8076172,-0.6533203,1.5058594,1,0,152,9,1,4
-1.184082,0.2915039,1.6210938,1,0,153,9,1,4
-0.5288086,1.184082,1.4101562,1,0,154,9,1,4
-0.2944336,1.5195312,1.0380859,1,0,155,9,1,4
0.0625,1.53125,0.93847656,1,0,156,9,1,4
0.15722656,1.7802734,0.9116211,1,0,157,9,1,4
0.060546875,1.2114258,1.7231445,1,0,158,9,1,4
0.12939453,0.62597656,3.027832,1,0,159,9,1,4
0.12597656,0.23095703,5.290039,1,0,160,9,1,4
0.66015625,0.64941406,3.2050781,1,0,161,9,1,4
2.3339844,0.8598633,2.4848633,1,0,162,9,1,4
5.4038086,0.5371094,1.8349609,1,0,163,10,1,4
6.1450195,-1.125,2.6948242,1,0,164,10,1,4
6.866211,-3.6118164,3.5717773,1,0,165,10,1,4
4.8847656,-4.1450195,3.0683594,1,0,166,10,1,4
3.0507812,-3.3110352,2.505371,1,0,167,10,1,4
3.2641602,-1.7895508,2.8393555,1,0,168,10,1,4
3.6538086,-0.9501953,2.5141602,1,0,169,10,1,4
3.3740234,-0.5283203,1.9814453,1,0,170,10,1,4
3.727539,-0.3774414,1.8950195,1,0,171,10,1,4
4.769043,-0.30908203,1.6010742,1,0,172,10,1,4
4.9526367,0.045410156,1.722168,1,0,173,10,1,4
4.1401367,-0.14746094,1.4165039,1,0,174,10,1,4
3.7294922,-0.1015625,1.5551758,1,0,175,10,1,4
3.567871,-0.064453125,1.5507812,1,0,176,10,1,4
3.2080078,-0.092285156,1.7963867,1,0,177,10,1,4
2.489746,-0.22509766,1.6850586,1,0,178,10,1,4
1.8413086,-0.38427734,1.5703125,1,0,179,10,1,4
1.1943359,-0.43798828,1.4228516,1,0,180,10,1,4
0.2709961,-0.44677734,1.3666992,1,0,181,11,1,4
-0.19628906,-0.34960938,1.6025391,1,0,182,11,1,4
-0.25,0.110839844,2.4692383,1,0,183,11,1,4
-0.78564453,1.190918,2.4541016,1,0,184,11,1,4
