Interval_no,Peaks_Index, Peaks_value 
1, Rpeaks[0], 19 
1 
, Rpeaks[1], 57,stepDiff = 38 
1 
, Rpeaks[2], 93,stepDiff = 36 
1 
, Rpeaks[3], 130,stepDiff = 37 
1 
, Rpeaks[4], 166,stepDiff = 36 
1 
, Rpeaks[5], 204,stepDiff = 38 
1 
, Rpeaks[6], 238,stepDiff = 34 
1 
, Rpeaks[7], 274,stepDiff = 36 
1 
, Rpeaks[8], 308,stepDiff = 34 
1 
, Rpeaks[9], 345,stepDiff = 37 
1 
, Rpeaks[10], 381,stepDiff = 36 
1 
, Rpeaks[11], 414,stepDiff = 33 
1 
, Rpeaks[12], 449,stepDiff = 35 
1 
, Rpeaks[13], 484,stepDiff = 35 
1 
, Rpeaks[14], 521,stepDiff = 37 
1 
, Rpeaks[15], 557,stepDiff = 36 
1 
, Rpeaks[16], 593,stepDiff = 36 
1 
, Rpeaks[17], 627,stepDiff = 34 
1 
, Rpeaks[18], 664,stepDiff = 37 
1 
, Rpeaks[19], 699,stepDiff = 35 
1 
, Rpeaks[20], 735,stepDiff = 36 
1 
, Rpeaks[21], 771,stepDiff = 36 
1 
, Rpeaks[22], 807,stepDiff = 36 
1 
, Rpeaks[23], 841,stepDiff = 34 
1 
, Rpeaks[24], 880,stepDiff = 39 
1 
, Rpeaks[25], 916,stepDiff = 36 
1 
, Rpeaks[26], 951,stepDiff = 35 
1 
, Rpeaks[27], 988,stepDiff = 37 
1 
, Rpeaks[28], 1024,stepDiff = 36 
1 
, Rpeaks[29], 1060,stepDiff = 36 
1 
, Rpeaks[30], 1097,stepDiff = 37 
1 
, Rpeaks[31], 1131,stepDiff = 34 
1 
, Rpeaks[32], 1167,stepDiff = 36 
1 
, Rpeaks[33], 1203,stepDiff = 36 
1 
, Rpeaks[34], 1239,stepDiff = 36 
1 
, Rpeaks[35], 1274,stepDiff = 35 
1 
, Rpeaks[36], 1310,stepDiff = 36 
1 
, Rpeaks[37], 1346,stepDiff = 36 
1 
, Rpeaks[38], 1383,stepDiff = 37 
1 
, Rpeaks[39], 1419,stepDiff = 36 
1 
, Rpeaks[40], 1455,stepDiff = 36 
1 
, Rpeaks[41], 1490,stepDiff = 35 
1 
, Rpeaks[42], 1526,stepDiff = 36 
1 
, Rpeaks[43], 1562,stepDiff = 36 
1 
, Rpeaks[44], 1599,stepDiff = 37 
1 
, Rpeaks[45], 1634,stepDiff = 35 
1 
, Rpeaks[46], 1669,stepDiff = 35 
1 
, Rpeaks[47], 1704,stepDiff = 35 
1 
, Rpeaks[48], 1738,stepDiff = 34 
1 
, Rpeaks[49], 1775,stepDiff = 37 
1 
, Rpeaks[50], 1810,stepDiff = 35 
1 
, Rpeaks[51], 1844,stepDiff = 34 
1 
, Rpeaks[52], 1879,stepDiff = 35 
1 
, Rpeaks[53], 1914,stepDiff = 35 
1 
, Rpeaks[54], 1950,stepDiff = 36 
1 
, Rpeaks[55], 1986,stepDiff = 36 
1 
, Rpeaks[56], 2021,stepDiff = 35 
1 
, Rpeaks[57], 2056,stepDiff = 35 
1 
, Rpeaks[58], 2094,stepDiff = 38 
1 
, Rpeaks[59], 2127,stepDiff = 33 
1 
, Rpeaks[60], 2161,stepDiff = 34 
1 
, Rpeaks[61], 2197,stepDiff = 36 
1 
, Rpeaks[62], 2232,stepDiff = 35 
1 
, Rpeaks[63], 2267,stepDiff = 35 
1 
, Rpeaks[64], 2302,stepDiff = 35 
1 
, Rpeaks[65], 2338,stepDiff = 36 
1 
, Rpeaks[66], 2375,stepDiff = 37 
1 
, Rpeaks[67], 2412,stepDiff = 37 
1 
, Rpeaks[68], 2448,stepDiff = 36 
1 
, Rpeaks[69], 2484,stepDiff = 36 
1 
, Rpeaks[70], 2521,stepDiff = 37 
1 
, Rpeaks[71], 2557,stepDiff = 36 
1 
, Rpeaks[72], 2593,stepDiff = 36 
1 
, Rpeaks[73], 2632,stepDiff = 39 
1 
, Rpeaks[74], 2666,stepDiff = 34 
1 
, Rpeaks[75], 2703,stepDiff = 37 
1 
, Rpeaks[76], 2738,stepDiff = 35 
1 
, Rpeaks[77], 2774,stepDiff = 36 
1 
, Rpeaks[78], 2810,stepDiff = 36 
1 
, Rpeaks[79], 2846,stepDiff = 36 
1 
, Rpeaks[80], 2882,stepDiff = 36 
1 
, Rpeaks[81], 2918,stepDiff = 36 
1 
, Rpeaks[82], 2954,stepDiff = 36 
1 
, Rpeaks[83], 2991,stepDiff = 37 
