"Interval_no","Peaks_Index","Peaks_value"
1,"Rpeaks[0]",99
1,"Rpeaks[1]",135
1,"Rpeaks[2]",172
1,"Rpeaks[3]",210
1,"Rpeaks[4]",246
1,"Rpeaks[5]",283
1,"Rpeaks[6]",321
1,"Rpeaks[7]",357
1,"Rpeaks[8]",393
1,"Rpeaks[9]",430
1,"Rpeaks[10]",467
1,"Rpeaks[11]",504
1,"Rpeaks[12]",541
1,"Rpeaks[13]",577
1,"Rpeaks[14]",614
1,"Rpeaks[15]",650
1,"Rpeaks[16]",688
1,"Rpeaks[17]",724
1,"Rpeaks[18]",761
1,"Rpeaks[19]",798
1,"Rpeaks[20]",835
1,"Rpeaks[21]",871
1,"Rpeaks[22]",909
1,"Rpeaks[23]",946
1,"Rpeaks[24]",983
1,"Rpeaks[25]",1020
1,"Rpeaks[26]",1057
1,"Rpeaks[27]",1094
1,"Rpeaks[28]",1130
1,"Rpeaks[29]",1167
1,"Rpeaks[30]",1203
1,"Rpeaks[31]",1240
1,"Rpeaks[32]",1278
1,"Rpeaks[33]",1315
1,"Rpeaks[34]",1352
1,"Rpeaks[35]",1389
1,"Rpeaks[36]",1427
1,"Rpeaks[37]",1462
1,"Rpeaks[38]",1500
1,"Rpeaks[39]",1536
1,"Rpeaks[40]",1573
1,"Rpeaks[41]",1610
1,"Rpeaks[42]",1647
1,"Rpeaks[43]",1684
1,"Rpeaks[44]",1721
1,"Rpeaks[45]",1758
1,"Rpeaks[46]",1796
1,"Rpeaks[47]",1833
1,"Rpeaks[48]",1869
1,"Rpeaks[49]",1907
1,"Rpeaks[50]",1944
1,"Rpeaks[51]",1982
1,"Rpeaks[52]",2018
1,"Rpeaks[53]",2055
1,"Rpeaks[54]",2092
1,"Rpeaks[55]",2128
1,"Rpeaks[56]",2166
1,"Rpeaks[57]",2202
1,"Rpeaks[58]",2239
1,"Rpeaks[59]",2275
1,"Rpeaks[60]",2312
1,"Rpeaks[61]",2349
1,"Rpeaks[62]",2387
1,"Rpeaks[63]",2424
1,"Rpeaks[64]",2462
1,"Rpeaks[65]",2498
1,"Rpeaks[66]",2535
1,"Rpeaks[67]",2572
1,"Rpeaks[68]",2608
1,"Rpeaks[69]",2645
1,"Rpeaks[70]",2682
1,"Rpeaks[71]",2719
1,"Rpeaks[72]",2756
1,"Rpeaks[73]",2793
1,"Rpeaks[74]",2830
1,"Rpeaks[75]",2867
1,"Rpeaks[76]",2904
1,"Rpeaks[77]",2941
